Team,Conference,G,RBI,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO
South Fla.,AAC,49,188,"1,227",207,329,59,6,463,21,,141,22,13,31,209,38,13,5,,96,13,,351,338
Southeast Mo. St.,OVC,40,186,"1,030",209,295,55,6,452,30,,100,19,8,10,150,38,14,4,,37,13,,284,279
Southeastern La.,Southland,45,222,"1,178",271,394,74,13,575,27,4,114,25,9,24,162,39,10,4,,113,15,,318,283
Southern Ill.,MVC,40,213,"1,139",236,331,43,4,472,30,1,181,44,11,14,211,64,13,6,,36,10,,290,287
Southern Miss.,C-USA,45,184,"1,209",205,328,45,10,525,44,2,133,24,13,6,212,39,15,5,,49,6,,262,395
Southern U.,SWAC,41,107,"1,019",125,227,33,8,321,15,1,81,17,3,25,186,47,7,3,,33,17,,341,243
Southern Utah,Big Sky,37,73,841,79,171,33,4,245,11,,65,28,2,5,279,68,9,6,,16,4,,181,200
St. Bonaventure,Atlantic 10,42,71,"1,009",89,201,34,3,274,11,1,108,17,3,18,266,61,9,6,,27,8,,273,263
St. John's (NY),Big East,41,65,941,75,177,27,2,235,9,7,78,18,4,18,303,88,7,4,,42,14,,232,224
St. Thomas (MN),Summit League,41,135,"1,061",154,270,30,3,390,28,2,118,20,8,15,294,75,13,7,,33,5,,280,212
Stanford,Pac-12,44,172,"1,139",190,310,53,18,462,21,,90,24,10,10,188,50,8,4,,40,7,,286,348
Stetson,ASUN,48,139,"1,203",151,284,38,5,422,30,,95,27,11,26,277,60,9,2,,64,9,,297,350
Stony Brook,America East,39,169,"1,053",189,291,53,9,437,25,3,84,28,5,35,182,39,5,2,,44,9,,300,269
Syracuse,ACC,41,170,"1,057",191,291,51,5,427,25,1,103,29,13,11,224,51,8,5,,51,12,,275,250
Tarleton St.,WAC,43,198,"1,166",226,335,53,9,523,39,1,118,35,6,20,200,46,13,7,,21,3,,311,299
Tennessee,SEC,46,277,"1,197",295,343,66,9,646,73,3,163,78,11,4,235,55,15,9,,79,8,,286,311
Tennessee St.,OVC,46,62,"1,071",83,195,34,5,245,2,,81,16,5,18,249,51,10,3,,36,15,,304,296
Tennessee Tech,OVC,44,225,"1,175",257,339,51,6,528,42,,135,17,6,26,173,53,10,3,,51,6,,284,346
Texas,Big 12,48,257,"1,259",289,389,79,11,628,46,1,174,20,15,18,198,60,16,9,,73,8,,316,340
Texas A&M,SEC,44,237,"1,121",271,332,54,7,556,52,4,193,15,11,7,262,79,12,3,,71,10,,261,242
Texas Southern,SWAC,37,166,973,182,260,32,4,372,24,1,131,15,13,16,163,64,7,3,,42,5,,270,273
Texas St.,Sun Belt,46,197,"1,207",221,341,42,6,464,23,,152,15,10,14,234,86,10,4,,72,11,,342,263
Texas Tech,Big 12,45,161,"1,076",177,272,61,6,438,31,1,124,26,8,13,257,54,16,10,,29,5,,273,267
Toledo,MAC,43,153,"1,106",177,260,52,2,403,29,,114,32,10,15,271,59,10,3,,39,8,,276,279
Towson,CAA,42,135,"1,069",146,278,36,17,414,22,,73,21,9,17,197,47,9,1,,30,5,,294,279
Troy,Sun Belt,42,170,"1,055",190,281,60,4,460,37,1,149,22,6,18,196,47,14,9,,26,2,,264,304
Tulsa,AAC,42,145,"1,094",168,280,54,10,405,17,,110,29,11,14,196,49,22,12,,27,11,,319,283
UAB,C-USA,42,160,"1,109",174,293,56,13,414,13,1,91,34,17,9,120,29,12,4,,25,14,,335,342
UAlbany,America East,35,157,949,179,280,59,7,422,23,,77,15,8,13,212,53,10,1,,66,16,,237,201
UC Davis,Big West,43,109,"1,151",130,276,36,9,375,15,,79,32,7,20,224,66,12,8,,37,12,,305,326
UC Riverside,Big West,40,172,"1,051",183,285,61,8,428,22,4,121,34,16,14,215,58,14,7,,40,8,,267,282
UC San Diego,Big West,44,144,"1,115",153,275,51,6,392,18,2,117,29,10,40,235,61,15,9,,60,13,,361,252
UC Santa Barbara,Big West,43,146,"1,080",153,297,55,12,409,11,,68,24,12,23,179,41,9,5,,27,7,,314,291
UCF,AAC,50,264,"1,290",298,384,60,12,567,33,1,197,34,12,21,240,67,13,10,,77,12,,374,282
UCLA,Pac-12,41,237,"1,033",267,327,63,11,550,46,,117,25,12,23,195,40,5,,,50,13,,269,241
UConn,Big East,46,224,"1,220",258,353,57,8,534,36,1,143,27,13,19,246,74,5,1,,113,15,,302,290
UIC,Horizon,36,102,953,113,232,41,10,338,15,,70,24,4,25,177,36,9,5,,14,8,,280,263
UIW,Southland,43,148,"1,128",161,279,46,8,419,26,,112,16,8,18,227,52,6,1,,29,9,,299,297
ULM,Sun Belt,43,175,"1,115",203,302,45,7,406,15,,134,25,5,27,234,60,14,3,,60,14,,293,283
UMass Lowell,America East,36,135,977,149,254,51,3,395,28,,93,21,7,10,191,50,6,1,,35,8,,275,231
UMBC,America East,31,131,827,141,248,37,1,377,30,,65,13,6,11,134,42,6,4,,22,8,,219,210
UMES,MEAC,44,167,"1,152",193,339,45,9,426,8,,95,15,16,27,179,51,14,4,,89,17,,352,273
UNC Greensboro,SoCon,46,254,"1,250",272,345,63,5,682,88,2,140,43,14,14,229,50,7,2,,6,1,,275,392
UNCW,CAA,38,135,933,177,257,37,11,358,14,1,110,27,8,26,170,40,5,,,94,17,,251,238
UNI,MVC,37,202,977,214,278,52,6,513,57,1,150,11,13,5,190,54,5,5,,64,13,,223,281
UNLV,Mountain West,43,247,"1,116",257,351,49,9,574,52,1,158,34,16,19,209,61,11,7,,22,5,,270,293
USC Upstate,Big South,49,260,"1,230",295,390,74,4,598,42,,113,34,10,38,132,36,15,7,,112,6,,337,371
UT Arlington,Sun Belt,41,143,986,159,249,38,2,369,26,,140,6,5,35,216,63,9,3,,39,13,,287,245
UT Martin,OVC,41,212,"1,084",240,330,52,8,494,32,,110,22,12,22,173,51,9,4,,42,2,,333,237
Utah,Pac-12,44,201,"1,167",222,347,50,7,501,30,,110,26,13,24,158,34,9,2,,76,15,,374,280
Utah St.,Mountain West,44,208,"1,210",244,325,60,5,497,34,3,155,29,21,13,262,78,12,8,,49,5,,295,317
Utah Valley,WAC,37,196,"1,020",217,328,54,3,484,32,,110,23,11,18,179,55,14,7,,39,5,,236,271
UTEP,C-USA,43,122,"1,052",132,243,46,3,355,20,,107,20,6,14,242,56,9,3,,26,5,,260,294
UTSA,C-USA,41,168,"1,072",183,263,38,5,470,53,,156,16,8,2,277,104,18,3,,4,3,,223,287
Valparaiso,MVC,39,93,960,108,219,36,3,288,9,,65,13,4,17,176,42,21,14,,39,5,,336,211
Villanova,Big East,45,188,"1,206",208,325,55,5,531,47,2,139,30,9,4,271,65,20,10,,44,10,,261,324
Virginia,ACC,47,186,"1,223",210,304,65,3,486,37,,135,29,12,10,221,69,15,6,,61,16,,302,365
Virginia Tech,ACC,42,249,"1,185",262,382,56,17,619,49,2,116,15,8,4,158,28,17,8,,53,10,,262,354
Wagner,NEC,41,125,"1,115",139,296,51,6,395,12,1,81,16,10,36,146,33,20,10,,11,2,,343,336
Washington,Pac-12,39,230,"1,010",250,299,59,8,569,65,8,155,33,13,21,217,57,14,11,,42,7,,211,280
Weber St.,Big Sky,42,219,"1,126",257,340,54,8,527,39,,136,19,11,23,221,63,14,3,,46,7,,267,281
Western Caro.,SoCon,47,156,"1,193",182,278,47,2,458,43,,120,33,4,10,253,43,22,7,,67,17,,317,316
Western Ill.,Summit League,38,60,887,67,186,20,6,236,6,,75,18,3,13,235,46,13,4,,17,7,,244,213
Western Ky.,C-USA,39,187,"1,031",212,309,58,4,468,31,,127,14,8,22,159,42,3,1,,61,10,,277,276
Western Mich.,MAC,46,119,"1,127",133,243,40,3,349,20,,84,16,5,25,269,88,11,8,,12,4,,351,251
Wichita St.,AAC,41,301,"1,131",326,394,68,7,755,93,1,151,31,8,7,213,59,14,9,,44,8,,246,248
Winthrop,Big South,47,143,"1,164",167,291,41,6,389,15,,139,37,7,18,297,74,9,7,,88,23,,295,264
Wisconsin,Big Ten,37,170,957,194,254,48,12,392,22,16,143,38,12,9,228,64,13,4,,40,14,,207,244
Yale,Ivy League,31,80,748,98,176,29,6,283,22,,70,20,1,21,175,48,7,4,,8,4,,177,227
Youngstown St.,Horizon,45,160,"1,175",174,312,55,8,437,18,2,91,49,12,40,271,66,13,5,,26,7,,247,365
